Date,Description,Withdrawal,Deposit,Category,deposit,Unnamed: 4,Amount
2024-03-25,"COSTCO WHOLESALE W159 AJAX, ON",108.6,,Groceries,,5268********5526,
2024-03-25,"THE HOME DEPOT #7109 AJAX, ON",5.29,,Stationery,,5268********5526,
2024-03-22,"DOLLARAMA # 435 WHITBY, ON",5.37,,Stationery,,5268********5526,
2024-03-22,"PANCHVATI SUPERMARKET AJAX, ON",15.27,,Groceries,,5268********5526,
2024-03-22,"WAL-MART #3001 AJAX, ON",60.53,,Groceries,,5268********5526,
2024-03-21,"UBER CANADA/UBEREATS TORONTO, ON",19.41,,Dining,,5268********5526,
2024-03-21,"WAL-MART #3001 AJAX, ON",15.75,,Groceries,,5268********5526,
2024-03-18,"UBER CANADA/UBERTRIP TORONTO, ON",20.7,,Travel,,5268********5526,
2024-03-18,"FOOD TRUCK (E-TUK) YYZ MISSISSAUGA, ON",11.58,,Dining,,5268********5526,
2024-03-18,"WAL-MART #3001 AJAX, ON",48.98,,Groceries,,5268********5526,
2024-03-15,"PANCHVATI SUPERMARKET AJAX, ON",22.97,,Groceries,,5268********5526,
2024-03-15,"TIM HORTONS Toronto, ON",5.0,,Dining,,5268********5526,
2024-03-15,"TIM HORTONS Toronto, ON",50.0,,Dining,,5268********5526,
2024-03-14,"KARAHI POINT AJAX AJAX, ON",27.11,,Dining,,5268********5526,
2024-03-14,"REXALL PHARMACY #1701 AJAX, ON",61.0,,Healthcare,,5268********5526,
2024-03-13,"TIM HORTONS #2642 905-421-9993, ON",1.92,,Dining,,5268********5526,
2024-03-13,"TIM HORTONS #2639 905-426-3186, ON",6.53,,Dining,,5268********5526,
2024-03-13,"WAL-MART #3001 AJAX, ON",298.76,,Groceries,,5268********5526,
2024-03-12,"DOLLARAMA # 881 AJAX, ON",32.1,,Stationery,,5268********5526,
2024-03-12,"ONE HEALTHCARE PHARMAC AJAX, ON",3.99,,Healthcare,,5268********5526,
2024-03-12,"FCH #51294 KINGSTON RD PICKERING, ON",29.38,,Other,,5268********5526,
2024-03-12,"TIM HORTONS #3956 AJAX, ON",1.92,,Dining,,5268********5526,
2024-03-12,PAYMENT THANK YOU/PAIEMEN T MERCI,,1372.44,Other,,5268********5526,
2024-03-12,"ONE HEALTHCARE PHARMAC AJAX, ON",3.99,,Healthcare,,5268********5526,
2024-03-11,"SHOPPERS DRUG MART #67 WHITBY, ON",179.01,,Healthcare,,5268********5526,
2024-03-11,"TIM HORTONS #6349 289-314-5288, ON",1.92,,Dining,,5268********5526,
2024-03-11,"METRO 106 WHITBY, ON",39.89,,Other,,5268********5526,
2024-03-11,"PETRO CANADA49995 WHITBY, ON",24.73,,Gas,,5268********5526,
2024-03-11,"PLAYDIUM #7010 WHITBY, ON",115.26,,Kids,,5268********5526,
2024-03-11,"LANDMARK 24 WHITBY WHITBY, ON",20.88,,Entertainment,,5268********5526,
2024-03-08,"TIM HORTONS #4189 905-683-6497, ON",6.25,,Dining,,5268********5526,
2024-03-07,"SHOPPERS DRUG MART #12 PICKERING, ON",8.22,,Healthcare,,5268********5526,
2024-03-06,"SLEEP COUNTRY - AJAX/D AJAX, ON",505.11,,HomeImprovement,,5268********5526,
2024-03-06,"SLEEP COUNTRY - AJAX/D AJAX, ON",440.69,,HomeImprovement,,5268********5526,
2024-03-05,"TIM HORTONS #3956 905-619-1599, ON",2.47,,Dining,,5268********5526,
2024-03-05,"UBER CANADA/UBERTRIP TORONTO, ON",18.67,,Travel,,5268********5526,
2024-03-05,"UBER CANADA/UBERTRIP TORONTO, ON",14.29,,Travel,,5268********5526,
2024-03-05,"KHEL SPORTS PICKERING, ON",3.5,,ClubMembership,,5268********5526,
2024-03-05,"THE BAGEL STOP TORONTO, ON",7.46,,Dining,,5268********5526,
2024-03-05,"PANCHVATI SUPERMARKET AJAX, ON",37.46,,Groceries,,5268********5526,
2024-03-05,"HUDSON'S BAY #1533 PICKERING, ON",33.38,,Apparel,,5268********5526,
2024-03-05,"THE HOME DEPOT #7109 AJAX, ON",14.27,,Stationery,,5268********5526,
2024-03-04,"COSTCO GAS W159 AJAX, ON",75.18,,Gas,,5268********5526,
2024-03-04,"TUSCAN WOLF WHITBY, ON",98.32,,Dining,,5268********5526,
2024-03-04,"ONE HEALTHCARE PHARMAC AJAX, ON",38.81,,Healthcare,,5268********5526,
2024-03-01,"TIM HORTONS #4189 905-683-6497, ON",15.55,,Dining,,5268********5526,
2024-02-29,"TIM HORTONS #2639 905-426-3186, ON",5.07,,Dining,,5268********5526,
2024-02-29,"AJAX IQBAL FOODS AJAX, ON",4.98,,Groceries,,5268********5526,
2024-02-29,"LONGO'S AJAX AJAX, ON",8.45,,Groceries,,5268********5526,
2024-02-28,"LOBLAWS #1001 PICKERING, ON",12.43,,Groceries,,5268********5526,
2024-02-27,"TIM HORTONS #3956 905-619-1599, ON",3.34,,Dining,,5268********5526,
2024-02-26,"PANCHVATI SUPERMARKET AJAX, ON",38.45,,Groceries,,5268********5526,
2024-02-26,"NEW SPICELAND SUPERMAR AJAX, ON",23.98,,Groceries,,5268********5526,
2024-02-26,"COSTCO WHOLESALE W159 AJAX, ON",159.22,,Groceries,,5268********5526,
2024-02-26,"UBER CANADA/UBEREATS TORONTO, ON",20.46,,Dining,,5268********5526,
2024-02-23,"GLOW CAR WASH AJAX, ON",14.68,,Maintenance-Car,,5268********5526,
2024-02-22,"UBER CANADA/UBEREATS TORONTO, ON",27.99,,Dining,,5268********5526,
2024-02-22,"COSTCO GAS W159 AJAX, ON",81.69,,Gas,,5268********5526,
2024-02-22,"TIM HORTONS #2639 905-426-3186, ON",2.47,,Dining,,5268********5526,
2024-02-21,"PANCHVATI SUPERMARKET AJAX, ON",39.22,,Groceries,,5268********5526,
2024-02-21,"SOCIETE DU VIEUX-PORT MONTREAL, QC",25.0,,Other,,5268********5526,
2024-02-20,"TIM HORTONS #104101 613-698-9657, ON",3.45,,Dining,,5268********5526,
2024-02-20,"WWW.MOIMONTREAL.COM MONTREAL, QC",106.93,,Other,,5268********5526,
2024-02-20,"TIM HORTONS #2972 905-666-0834, ON",3.84,,Dining,,5268********5526,
2024-02-15,"TIM HORTONS #0993 905-683-6497, ON",1.92,,Dining,,5268********5526,
2024-02-14,"UBER CANADA/UBEREATS TORONTO, ON",27.91,,Dining,,5268********5526,
2024-02-13,PAYMENT THANK YOU/PAIEMEN T MERCI,,1574.79,Other,,5268********5526,
2024-02-13,"THE BAGEL STOP TORONTO, ON",7.46,,Dining,,5268********5526,
2024-02-12,"TIM HORTONS #2639 905-426-3186, ON",1.92,,Dining,,5268********5526,
2024-02-12,"PANCHVATI SUPERMARKET AJAX, ON",68.78,,Groceries,,5268********5526,
2024-02-12,"TIM HORTONS #2639 AJAX, ON",7.87,,Dining,,5268********5526,
2024-02-12,"COSTCO GAS W159 AJAX, ON",73.66,,Gas,,5268********5526,
2024-02-12,"MCDONALD'S #22566 Q04 AJAX, ON",17.49,,Dining,,5268********5526,
2024-02-08,"TIM HORTONS #0993 905-683-6497, ON",2.47,,Dining,,5268********5526,
2024-02-08,"TIM HORTONS #2387 TORONTO, ON",1.67,,Dining,,5268********5526,
2024-02-07,"LOBLAWS #1001 PICKERING, ON",29.16,,Groceries,,5268********5526,
2024-02-05,"PANCHVATI SUPERMARKET AJAX, ON",72.3,,Groceries,,5268********5526,
2024-02-05,"MR. JOHN S REAL KERALA SCARBOROUGH, ON",100.33,,Dining,,5268********5526,
2024-02-05,"TIM HORTONS #0993 905-683-6497, ON",2.47,,Dining,,5268********5526,
2024-02-05,"MCDONALD'S #22566 Q04 AJAX, ON",13.55,,Dining,,5268********5526,
2024-02-05,"TIM HORTONS #2639 905-426-3186, ON",1.92,,Dining,,5268********5526,
2024-02-05,"UBER* EATS TORONTO, ON",70.02,,Other,,5268********5526,
2024-02-02,"COSTCO GAS W159 AJAX, ON",59.62,,Gas,,5268********5526,
2024-02-01,"TIM HORTONS #2618 905-421-0007, ON",2.47,,Dining,,5268********5526,
2024-02-01,"MCDONALD'S #8794 Q04 PICKERING, ON",4.19,,Dining,,5268********5526,
2024-01-31,"TIM HORTONS #3956 905-619-1599, ON",1.92,,Dining,,5268********5526,
2024-01-31,"CONSERVATIVE FUND CANA OTTAWA, ON",15.0,,Other,,5268********5526,
2024-01-30,"AJAX IQBAL FOODS AJAX, ON",53.01,,Groceries,,5268********5526,
2024-01-29,"SQ *NAZFOODS Ajax, ON",4.5,,Groceries,,5268********5526,
2024-01-29,"PANCHVATI SUPERMARKET AJAX, ON",63.53,,Groceries,,5268********5526,
2024-01-29,"MR. JOHN S REAL KERALA SCARBOROUGH, ON",86.37,,Dining,,5268********5526,
2024-01-29,"TIM HORTONS #4189 905-683-6497, ON",5.96,,Dining,,5268********5526,
2024-01-29,"TIM HORTONS #4189 905-683-6497, ON",4.68,,Dining,,5268********5526,
2024-01-29,"WARRAICH MEATS AJAX, ON",15.59,,Groceries,,5268********5526,
2024-01-29,"COSTCO GAS W159 AJAX, ON",75.69,,Gas,,5268********5526,
2024-01-26,"PACIFIC FRESH FOOD MAR PICKERING, ON",4.59,,Groceries,,5268********5526,
2024-01-24,"LYFT *1 RIDE 01-22 VANCOUVER, BC",16.99,,Travel,,5268********5526,
2024-01-24,"MPBSD OSS - OFFICIAL D TORONTO, ON",64.0,,Other,,5268********5526,
2024-01-23,"%ARABICA (UNION STATIO TORONTO, ON",13.84,,Dining,,5268********5526,
2024-01-23,"%ARABICA (UNION STATIO TORONTO, ON",6.22,,Dining,,5268********5526,
2024-01-23,"GLOW CAR WASH AJAX, ON",19.2,,Maintenance-Car,,5268********5526,
2024-01-23,"UBER* TRIP TORONTO, ON",9.71,,Other,,5268********5526,
2024-01-23,"AJAX IQBAL FOODS AJAX, ON",18.52,,Groceries,,5268********5526,
2024-01-23,"WAL-MART #3001 AJAX, ON",71.81,,Groceries,,5268********5526,
2024-01-22,"TIM HORTONS #0914 905-427-2299, ON",2.47,,Dining,,5268********5526,
2024-01-22,"PANCHVATI SUPERMARKET AJAX, ON",43.44,,Groceries,,5268********5526,
2024-01-22,"DOLLARAMA # 640 AJAX, ON",14.97,,Stationery,,5268********5526,
2024-01-22,"MADURA DINE-IN AJAX, ON",79.03,,Dining,,5268********5526,
2024-01-19,"WALK IN NOTARY AJAX, ON",118.6,,Other,,5268********5526,
2024-01-18,"TIM HORTONS #2252 905-428-6388, ON",4.83,,Dining,,5268********5526,
2024-01-18,"THE UPS STORE #349 AJAX, ON",94.87,,Stationery,,5268********5526,
2024-01-18,"THE UPS STORE #349 AJAX, ON",47.44,,Stationery,,5268********5526,
2024-01-17,"PETRO CANADA58627 WHITBY, ON",5.97,,Gas,,5268********5526,
2024-01-17,"TIM HORTONS #1076 WHITBY, ON",1.92,,Dining,,5268********5526,
2024-01-17,"PETRO CANADA00921 WHITBY, ON",13.55,,Gas,,5268********5526,
2024-01-17,"PETRO CANADA58627 WHITBY, ON",7.9,,Gas,,5268********5526,
2024-01-15,"TIM HORTONS #0914 905-427-2299, ON",1.92,,Dining,,5268********5526,
2024-01-15,"PANCHVATI SUPERMARKET AJAX, ON",81.77,,Groceries,,5268********5526,
2024-01-15,"CLUCK CLUCKS AJAX AJAX, ON",38.51,,Dining,,5268********5526,
2024-01-15,"TIM HORTONS #2639 905-426-3186, ON",2.17,,Dining,,5268********5526,
2024-01-15,"UBER CANADA/UBEREATS TORONTO, ON",53.99,,Dining,,5268********5526,
2024-01-12,"DOLLARAMA # 698 WHITBY, ON",8.48,,Stationery,,5268********5526,
2024-01-09,"TIM HORTONS #3956 905-619-1599, ON",1.92,,Dining,,5268********5526,
2024-01-09,"COSTCO GAS W159 AJAX, ON",67.18,,Gas,,5268********5526,
2024-01-09,"WAL-MART #3001 AJAX, ON",89.62,,Groceries,,5268********5526,
2024-01-09,"PANCHVATI SUPERMARKET AJAX, ON",33.96,,Groceries,,5268********5526,
2024-01-09,"AJAX IQBAL FOODS AJAX, ON",13.14,,Groceries,,5268********5526,
2024-01-09,PAYMENT THANK YOU/PAIEMEN T MERCI,,327.62,Other,,5268********5526,
2024-01-08,"TIM HORTONS #1839 905-426-9983, ON",2.47,,Dining,,5268********5526,
2024-01-08,"TIM HORTONS #2639 905-426-3186, ON",4.54,,Dining,,5268********5526,
2024-01-08,"IKEA NORTH YORK NORTH YORK, ON",16.35,,HomeImprovement,,5268********5526,
2024-01-08,"UBER CANADA/UBEREATS TORONTO, ON",42.84,,Dining,,5268********5526,
2024-01-08,"UBER CANADA/UBEREATS TORONTO, ON",5.68,,Dining,,5268********5526,
2024-01-08,"UBER CANADA/UBEREATS TORONTO, ON",41.23,,Dining,,5268********5526,
2024-01-04,"TIM HORTONS #2958 905-426-8140, ON",1.92,,Dining,,5268********5526,
2024-01-03,"TIM HORTONS #2639 905-426-3186, ON",10.08,,Dining,,5268********5526,
2024-01-03,"COSTCO WHOLESALE W159 AJAX, ON",119.36,,Groceries,,5268********5526,
2024-01-02,"TIM HORTONS #2639 905-426-3186, ON",7.48,,Dining,,5268********5526,
2024-01-02,"UBER* EATS TORONTO, ON",61.25,,Other,,5268********5526,
2024-01-02,"Uniqlo Canada POS_CA_S Mississauga, ON",130.95,,Apparel,,5268********5526,
2024-01-02,"PANCHVATI SUPERMARKET AJAX, ON",27.01,,Groceries,,5268********5526,
2024-01-02,"TIM HORTONS #2639 AJAX, ON",8.66,,Dining,,5268********5526,
2024-01-02,"APPLE.COM/BILL 866-712-7753, ON",1.46,,Subscription,,5268********5526,
2024-01-02,"PETRO CANADA35252 WHITBY, ON",15.26,,Gas,,5268********5526,
2024-01-02,"TIM HORTONS #5538 WHITBY, ON",1.92,,Dining,,5268********5526,
2024-01-02,"AJAX IQBAL FOODS AJAX, ON",44.47,,Groceries,,5268********5526,
2024-01-02,"TIM HORTONS #5538 WHITBY, ON",1.92,,Dining,,5268********5526,
30 Apr 2024,Use Points for Purchases,,,Other,,,-$262.92
19 Apr 2024,EYE HOME SOLUTIONS Whitby,,,HomeImprovement,,,"$2,900.00"
14 Apr 2024,PAYMENT RECEIVED - THANK YOU,,,Other,,,"-$1,207.11"
14 Mar 2024,PAYMENT RECEIVED - THANK YOU,,,Other,,,"-$3,190.65"
13 Mar 2024,BELL CANADA (OB) MONTREAL,,,Internet,,,$62.15
11 Mar 2024,PETRO CANADA59647 PICKERING,,,Gas,,,$79.39
09 Mar 2024,PLAYDIUM #7010 WHITBY,,,Kids,,,$429.40
07 Mar 2024,KEG - 509 - AJAX 1328 AJAX,,,Dining,,,$200.01
05 Mar 2024,UBER CASH HTTPS://HELP.UB,,,Travel,,,$100.00
01 Mar 2024,ANJAPPAR CHETTINAD REST SCARBOROUGH,,,Dining,,,$102.19
27 Feb 2024,LYFT *RIDE MON 7AM VANCOUVER,,,Travel,,,$13.72
26 Feb 2024,HARVEST GREEN Toronto,,,Dining,,,$14.41
24 Feb 2024,TELUS MOBILITY PREAUTH CALGARY,,,Phone,,,$138.04
23 Feb 2024,FREEDOM MOBILE 877-946-3184,,,Phone,,,$67.80
19 Feb 2024,VAN HOUTTE 108751786 MONTREAL,,,Other,,,$25.58
19 Feb 2024,ONROUTE BAINSVILLE E #1 BAINSVILLE,,,Travel,,,$49.34
19 Feb 2024,PARC INDIGO - CMO302 MONTREAL,,,Other,,,$18.00
19 Feb 2024,3 BRASSEURS ST-PAUL MONTREAL,,,Other,,,$128.93
18 Feb 2024,QUALITY INN CENTRE-VILL MONTREAL,,,Travel,,,$195.82
18 Feb 2024,ONROUTE MALLORYTOWN S # MALLORYTOWN,,,Travel,,,$50.09
18 Feb 2024,PIZZERIA DEI COMPARI PI MONTREAL,,,Dining,,,$77.88
17 Feb 2024,GOLDIE'S CAFE + EATER AJAX,,,Dining,,,$7.91
16 Feb 2024,TIM HORTONS #2639 AJAX,,,Dining,,,$13.59
16 Feb 2024,PETRO CANADA59222 SCARBOROUGH,,,Gas,,,$52.04
15 Feb 2024,ROGERS ******7703 888-764-3771,,,Internet,,,$265.53
13 Feb 2024,PRESTO AUTL TORONTO,,,Travel,,,$100.00
13 Feb 2024,LYFT *RIDE MON 3PM VANCOUVER,,,Travel,,,$10.99
13 Feb 2024,PAYMENT RECEIVED - THANK YOU,,,Other,,,"-$6,477.49"
13 Feb 2024,BELL CANADA (OB) MONTREAL,,,Internet,,,$57.78
12 Feb 2024,UBER TRIP HTTPS://HELP.UB,,,Travel,,,$13.56
12 Feb 2024,AJAX TENNIS CLUB 001 AJAX,,,ClubMembership,,,$85.00
12 Feb 2024,CULTURES ULT072 2106053 TORONTO,,,Dining,,,$15.81
09 Feb 2024,SURF WHITBY,,,Dining,,,$120.85
07 Feb 2024,UBER TRIP HTTPS://HELP.UB,,,Travel,,,$13.84
07 Feb 2024,UBER TRIP HTTPS://HELP.UB,,,Travel,,,$14.94
07 Feb 2024,CHASKA TORONTO,,,Dining,,,$14.11
06 Feb 2024,UBER TRIP HTTPS://HELP.UB,,,Travel,,,$63.16
06 Feb 2024,THE UPS STORE #121 AJAX,,,Stationery,,,$124.50
31 Jan 2024,UBER TRIP HTTPS://HELP.UB,,,Travel,,,$13.80
31 Jan 2024,UBER TRIP HTTPS://HELP.UB,,,Travel,,,$14.77
31 Jan 2024,UBER TRIP HTTPS://HELP.UB,,,Travel,,,$0.49
27 Jan 2024,WAL-MART 3001 3001 AJAX,,,Groceries,,,$59.39
26 Jan 2024,TELUS MOBILITY PREAUTH CALGARY,,,Phone,,,$163.35
24 Jan 2024,UBER TRIP HTTPS://HELP.UB,,,Travel,,,$1.00
24 Jan 2024,UBER TRIP HTTPS://HELP.UB,,,Travel,,,$13.90
24 Jan 2024,UBER TRIP HTTPS://HELP.UB,,,Travel,,,$14.71
24 Jan 2024,TIM HORTONS #2387 TORONTO,,,Dining,,,$6.87
24 Jan 2024,CULTURES ULT072 2106053 TORONTO,,,Dining,,,$15.81
23 Jan 2024,FREEDOM MOBILE 877-946-3184,,,Phone,,,$68.65
22 Jan 2024,UBER TRIP HTTPS://HELP.UB,,,Travel,,,$61.35
22 Jan 2024,NBX*SEWER SQUAD PLUMBIN AJAX,,,Maintenance-Home,,,"$1,237.31"
21 Jan 2024,WAL-MART 3001 3001 AJAX,,,Groceries,,,$500.00
18 Jan 2024,THE PORTLY PIPER 001 AJAX,,,Dining,,,$83.17
17 Jan 2024,HARVEST GREEN Toronto,,,Dining,,,$14.41
17 Jan 2024,TIM HORTONS #2387 TORONTO,,,Dining,,,$3.34
16 Jan 2024,PETRO CANADA58627 WHITBY,,,Gas,,,$36.45
13 Jan 2024,PAYMENT RECEIVED - THANK YOU,,,Other,,,"-$3,648.81"
10 Jan 2024,BELL CANADA (OB) MONTREAL,,,Internet,,,$68.37
08 Jan 2024,NBX*SEWER SQUAD PLUMBIN AJAX,,,Maintenance-Home,,,$825.00
06 Jan 2024,THE TREADMILL FACTORY MARKHAM,,,GymEquipment,,,$739.00
